a	b
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_model
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_models
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_method
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_frameworks
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_framework
https://cso.kmi.open.ac.uk/topics/bayesian_networks	https://cso.kmi.open.ac.uk/topics/bayesian_methods
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_networks
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_approaches
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_approach
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_model
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_models
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_method
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_frameworks
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_framework
https://cso.kmi.open.ac.uk/topics/bayesian_network	https://cso.kmi.open.ac.uk/topics/bayesian_methods
https://cso.kmi.open.ac.uk/topics/machine_learning	https://cso.kmi.open.ac.uk/topics/machine-learning
https://cso.kmi.open.ac.uk/topics/machine_learning	https://cso.kmi.open.ac.uk/topics/machine_learning_techniques
https://cso.kmi.open.ac.uk/topics/machine_learning	https://cso.kmi.open.ac.uk/topics/machine_learning_methods
https://cso.kmi.open.ac.uk/topics/machine_learning	https://cso.kmi.open.ac.uk/topics/machine_learning_algorithms
https://cso.kmi.open.ac.uk/topics/machine_learning	https://cso.kmi.open.ac.uk/topics/machine_learnings
https://cso.kmi.open.ac.uk/topics/machine-learning	https://cso.kmi.open.ac.uk/topics/machine_learning
https://cso.kmi.open.ac.uk/topics/machine-learning	https://cso.kmi.open.ac.uk/topics/machine_learning_techniques
https://cso.kmi.open.ac.uk/topics/machine-learning	https://cso.kmi.open.ac.uk/topics/machine_learning_methods
https://cso.kmi.open.ac.uk/topics/machine-learning	https://cso.kmi.open.ac.uk/topics/machine_learning_algorithms
https://cso.kmi.open.ac.uk/topics/machine-learning	https://cso.kmi.open.ac.uk/topics/machine_learnings
https://cso.kmi.open.ac.uk/topics/cellular_automata	https://cso.kmi.open.ac.uk/topics/cellular_automata_%28ca%29
https://cso.kmi.open.ac.uk/topics/cellular_automata_%28ca%29	https://cso.kmi.open.ac.uk/topics/cellular_automata
https://cso.kmi.open.ac.uk/topics/knowledge_based_systems	https://cso.kmi.open.ac.uk/topics/knowledge-based_systems
https://cso.kmi.open.ac.uk/topics/knowledge-based_systems	https://cso.kmi.open.ac.uk/topics/knowledge_based_systems
https://cso.kmi.open.ac.uk/topics/expert_systems	https://cso.kmi.open.ac.uk/topics/expert_system
https://cso.kmi.open.ac.uk/topics/expert_system	https://cso.kmi.open.ac.uk/topics/expert_systems
https://cso.kmi.open.ac.uk/topics/multi_agent_system_%28mas%29	https://cso.kmi.open.ac.uk/topics/multi-agent_system
https://cso.kmi.open.ac.uk/topics/multi_agent_system_%28mas%29	https://cso.kmi.open.ac.uk/topics/multi-agent_systems
https://cso.kmi.open.ac.uk/topics/multi_agent_system_%28mas%29	https://cso.kmi.open.ac.uk/topics/multi_agent_systems
https://cso.kmi.open.ac.uk/topics/multi_agent_system_%28mas%29	https://cso.kmi.open.ac.uk/topics/multiagent_systems
https://cso.kmi.open.ac.uk/topics/multi_agent_system_%28mas%29	https://cso.kmi.open.ac.uk/topics/multi_agent_system
https://cso.kmi.open.ac.uk/topics/multi_agent_system_%28mas%29	https://cso.kmi.open.ac.uk/topics/multiagent_system
https://cso.kmi.open.ac.uk/topics/multi-agent_system	https://cso.kmi.open.ac.uk/topics/multi_agent_system_%28mas%29
https://cso.kmi.open.ac.uk/topics/multi-agent_system	https://cso.kmi.open.ac.uk/topics/multi-agent_systems
https://cso.kmi.open.ac.uk/topics/multi-agent_system	https://cso.kmi.open.ac.uk/topics/multi_agent_systems
