s	o
https://cso.kmi.open.ac.uk/topics/mlp_neural_networks	http://rdf.freebase.com/ns/m.05dhw
https://cso.kmi.open.ac.uk/topics/cellular_neural_network	http://rdf.freebase.com/ns/m.05dhw
https://cso.kmi.open.ac.uk/topics/feedforward_neural_network	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/cohen-grossberg_neural_networks	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/fuzzy_neural_network_%28fnn%29	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/fuzzy_neural_networks	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/fuzzy_neural_network	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/neural_network_model	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/neural_network	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/artificial_neural_networks	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/artificial_neural_network	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/artificial_neural_network_models	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/artificial_neural_network_%28ann%29	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/rbf_neural_network	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/rbf_neural_networks	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/mlp_neural_networks	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/cellular_neural_network	http://yago-knowledge.org/resource/Artificial_neural_network
https://cso.kmi.open.ac.uk/topics/artificial_intelligence	http://dbpedia.org/resource/Artificial_intelligence
https://cso.kmi.open.ac.uk/topics/intelligent_systems	http://dbpedia.org/resource/Artificial_intelligence
https://cso.kmi.open.ac.uk/topics/artificial_intelligence	http://www.wikidata.org/entity/Q11660
https://cso.kmi.open.ac.uk/topics/intelligent_systems	http://www.wikidata.org/entity/Q11660
https://cso.kmi.open.ac.uk/topics/artificial_intelligence	http://rdf.freebase.com/ns/m.0mkz
https://cso.kmi.open.ac.uk/topics/intelligent_systems	http://rdf.freebase.com/ns/m.0mkz
